_id,city_id,city_name,country_name,good_id,item_name,category_id,category_name,price_min,Pirce_avg,price_max,usd-min,usd-avg,usd-max,measure,currency_code
2,27,Andorra la Vella,Andorra,11,"Beef Round or Equivalent Back Leg Red Meat, 1 kg",4,Markets,18.57,20.64,22.71,19.4,21.57,23.73,money,EUR
2,27,Andorra la Vella,Andorra,12,"Bottle of Wine, Mid-Range Price",4,Markets,2.07,4.64,7.22,2.16,4.85,7.54,money,EUR
2,27,Andorra la Vella,Andorra,13,"Chicken Breasts, Boneless and Skinless, 1 kg",4,Markets,6.7,11.09,15.48,7,11.59,16.18,money,EUR
2,27,Andorra la Vella,Andorra,14,"Domestic Beer, 0.5 liter Bottle",4,Markets,0.93,1.03,1.13,0.97,1.08,1.18,money,EUR
2,27,Andorra la Vella,Andorra,15,"Eggs, 12 pack",4,Markets,1.55,2.42,3.72,1.62,2.53,3.89,money,EUR
2,27,Andorra la Vella,Andorra,17,"Lettuce, 1 head",4,Markets,0.93,1.03,1.13,0.97,1.08,1.18,money,EUR
2,27,Andorra la Vella,Andorra,18,"Loaf of Fresh White Bread, 0.5 kg",4,Markets,1.03,1.37,1.71,1.08,1.43,1.79,money,EUR
2,27,Andorra la Vella,Andorra,19,"Local Cheese, 1 kg",4,Markets,13.93,15.48,17.03,14.56,16.18,17.8,money,EUR
2,27,Andorra la Vella,Andorra,20,"Milk, Regular,1 liter",4,Markets,0.62,0.93,1.24,0.65,0.97,1.3,money,EUR
2,27,Andorra la Vella,Andorra,21,"Onion, 1 kg",4,Markets,0.83,0.93,1.03,0.87,0.97,1.08,money,EUR
2,27,Andorra la Vella,Andorra,22,"Oranges, 1 kg",4,Markets,0.93,1.03,1.13,0.97,1.08,1.18,money,EUR
2,27,Andorra la Vella,Andorra,23,Pack of Cigarettes,4,Markets,3.62,3.87,4.13,3.78,4.04,4.32,money,EUR
2,27,Andorra la Vella,Andorra,24,"Potato, 1 kg",4,Markets,1.39,1.55,1.71,1.45,1.62,1.79,money,EUR
2,27,Andorra la Vella,Andorra,25,"White Rice, 1 kg",4,Markets,0.83,1.21,1.59,0.87,1.26,1.66,money,EUR
2,27,Andorra la Vella,Andorra,26,"Tomato, 1 kg",4,Markets,1.55,1.8,2.07,1.62,1.88,2.16,money,EUR
2,27,Andorra la Vella,Andorra,27,"Water, 1.5 liter Bottle",4,Markets,0.31,0.59,1.03,0.32,0.62,1.08,money,EUR
2,27,Andorra la Vella,Andorra,28,One bedroom apartment outside of city centre,5,Rent Per Month,464.37,515.97,567.57,485.24,539.16,593.08,money,EUR
2,27,Andorra la Vella,Andorra,29,One bedroom apartment in city centre,5,Rent Per Month,670.76,722.35,825.54,700.91,754.81,862.64,money,EUR
2,27,Andorra la Vella,Andorra,30,Three bedroom apartment outside of city centre,5,Rent Per Month,825.54,866.82,1031.93,862.64,905.78,1078.31,money,EUR
2,27,Andorra la Vella,Andorra,31,Three bedroom apartment in city centre,5,Rent Per Month,1083.53,1246.91,1547.9,1132.23,1302.95,1617.47,money,EUR
2,27,Andorra la Vella,Andorra,32,Cappuccino,6,Restaurants,0.77,1.7,3.1,0.8,1.78,3.24,money,EUR
2,27,Andorra la Vella,Andorra,33,"Coca-Cola, 0.33 liter Bottle",6,Restaurants,1.55,1.88,2.21,1.62,1.96,2.31,money,EUR
2,27,Andorra la Vella,Andorra,34,"Domestic Beer, 0.5 liter Draught",6,Restaurants,1.34,2.07,3.1,1.4,2.16,3.24,money,EUR
2,27,Andorra la Vella,Andorra,35,"Imported Beer, 0.33 liter Bottle",6,Restaurants,2.79,3.1,3.41,2.92,3.24,3.56,money,EUR
2,27,Andorra la Vella,Andorra,36,McMeal at McDonalds or Alternative Combo Meal,6,Restaurants,7.22,8.25,9.28,7.54,8.62,9.7,money,EUR
2,27,Andorra la Vella,Andorra,37,"Meal for 2 People, Mid-range Restaurant, Three-course",6,Restaurants,30.96,36.12,61.91,32.35,37.74,64.69,money,EUR
2,27,Andorra la Vella,Andorra,38,Meal in Inexpensive Restaurant,6,Restaurants,8.25,12.39,16.53,8.62,12.95,17.27,money,EUR
2,27,Andorra la Vella,Andorra,40,"Average Monthly Net Salary, After Tax",7,Salaries And Financing,1749.44,1943.82,2138.2,1828.07,2031.18,2234.3,money,EUR
2,27,Andorra la Vella,Andorra,42,"Cinema ticket, 1 Seat",8,Sports And Leisure,6.19,7.22,8.25,6.47,7.54,8.62,money,EUR
2,27,Andorra la Vella,Andorra,43,"Fitness Club, Monthly Fee for 1 Adult",8,Sports And Leisure,25.8,34.88,70.17,26.96,36.45,73.32,money,EUR
2,27,Andorra la Vella,Andorra,44,"Tennis Court Rent, 1 Hour on Weekend",8,Sports And Leisure,10.32,13.56,16.8,10.78,14.17,17.56,money,EUR
2,27,Andorra la Vella,Andorra,45,"Gasoline, 1 liter",9,Transportation,1.06,1.17,1.28,1.11,1.22,1.34,money,EUR
2,27,Andorra la Vella,Andorra,46,"Monthly Pass, Regular Price",9,Transportation,41.28,46.44,53.66,43.14,48.53,56.07,money,EUR
2,27,Andorra la Vella,Andorra,47,"One-way Ticket, Local Transport",9,Transportation,1.72,1.91,2.1,1.8,2,2.19,money,EUR
2,27,Andorra la Vella,Andorra,48,"Taxi, price for 1 hour Waiting, Normal Tariff",9,Transportation,4.65,5.16,5.68,4.86,5.39,5.94,money,EUR
2,27,Andorra la Vella,Andorra,49,"Taxi, price for 1 km, Normal Tariff",9,Transportation,1.17,1.18,1.19,1.22,1.23,1.24,money,EUR
2,27,Andorra la Vella,Andorra,50,"Taxi Start, Normal Tariff",9,Transportation,2.58,2.63,2.68,2.7,2.75,2.8,money,EUR
2,27,Andorra la Vella,Andorra,52,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),9,Transportation,16717.28,18574.76,20432.24,17468.6,19409.57,21350.53,money,EUR
2,27,Andorra la Vella,Andorra,53,"Prepaid Mobile Tariff Local, price per 1 min, No Discounts or Plans",10,Utilities Per Month,0.32,0.36,0.4,0.33,0.38,0.42,money,EUR
2,27,Andorra la Vella,Andorra,54,"Basic utilities for 85 square meter Apartment including Electricity, Heating or Cooling, Water and Garbage",10,Utilities Per Month,61.91,81.91,185.17,64.69,85.59,193.49,money,EUR
2,27,Andorra la Vella,Andorra,55,"Internet, 60 Mbps or More, Unlimited Data, Cable/ADSL",10,Utilities Per Month,37.15,41.28,45.41,38.82,43.14,47.45,money,EUR
2,27,Andorra la Vella,Andorra,58,"Water, 0.33 liter Bottle",4,Markets,1.03,1.13,2.07,1.08,1.18,2.16,money,EUR
2,27,Andorra la Vella,Andorra,64,"Summer Dress in a Chain Store Like George, H&M, Zara, etc.",3,Clothing And Shoes,20.64,39.56,61.91,21.57,41.34,64.69,money,EUR
2,27,Andorra la Vella,Andorra,65,"Mortgage Interest Rate in Percentages for 20 Years Fixed-Rate, Yearly, Fixed-Rate",7,Salaries And Financing,2.7,3,3.3,,,,percent,
2,27,Andorra la Vella,Andorra,68,"Imported Beer, 0.33 liter Bottle",4,Markets,1.21,1.34,1.48,1.26,1.4,1.55,money,EUR
3,107,Vienna,Austria,1,Price per square meter to Buy Apartment Outside of City Center,1,Buy Apartment,4127.72,4699.59,5271.46,4313.23,4910.8,5508.38,money,EUR
3,107,Vienna,Austria,2,Price per square meter to Buy Apartment in City Center,1,Buy Apartment,5159.65,7927.1,14447.03,5391.54,8283.37,15096.32,money,EUR
3,107,Vienna,Austria,3,"International Primary School, Yearly for 1 Child",2,Childcare,7223.52,15220.98,23218.44,7548.17,15905.06,24261.95,money,EUR
3,107,Vienna,Austria,4,"Private Preschool or Kindergarten, Monthly for 1 Child",2,Childcare,154.79,243.45,412.78,161.75,254.39,431.33,money,EUR
3,107,Vienna,Austria,5,"Pair of Jeans in a Chain Store Like George, H&M, Zara, etc.",3,Clothing And Shoes,30.96,81.62,132.28,32.35,85.29,138.23,money,EUR
3,107,Vienna,Austria,6,Pair of Leather Business Shoes,3,Clothing And Shoes,72.23,122.32,206.39,75.48,127.82,215.67,money,EUR
3,107,Vienna,Austria,7,"Pair of Running Shoes, Mid-Range Price",3,Clothing And Shoes,51.59,85.69,123.83,53.91,89.54,129.4,money,EUR
3,107,Vienna,Austria,9,"Apples, 1 kg",4,Markets,1.03,2.14,3.25,1.08,2.24,3.4,money,EUR
3,107,Vienna,Austria,10,"Banana, 1 kg",4,Markets,1.24,1.84,3.1,1.3,1.92,3.24,money,EUR
3,107,Vienna,Austria,11,"Beef Round or Equivalent Back Leg Red Meat, 1 kg",4,Markets,6.19,13.07,20.64,6.47,13.66,21.57,money,EUR
3,107,Vienna,Austria,12,"Bottle of Wine, Mid-Range Price",4,Markets,4.13,6.19,8.25,4.32,6.47,8.62,money,EUR
3,107,Vienna,Austria,13,"Chicken Breasts, Boneless and Skinless, 1 kg",4,Markets,4.13,8.7,13.93,4.32,9.09,14.56,money,EUR
3,107,Vienna,Austria,14,"Domestic Beer, 0.5 liter Bottle",4,Markets,0.72,1,1.33,0.75,1.04,1.39,money,EUR
3,107,Vienna,Austria,15,"Eggs, 12 pack",4,Markets,1.85,2.93,4.33,1.93,3.06,4.52,money,EUR
3,107,Vienna,Austria,17,"Lettuce, 1 head",4,Markets,0.83,1.12,1.55,0.87,1.17,1.62,money,EUR
3,107,Vienna,Austria,18,"Loaf of Fresh White Bread, 0.5 kg",4,Markets,0.77,1.74,2.73,0.8,1.82,2.85,money,EUR
3,107,Vienna,Austria,19,"Local Cheese, 1 kg",4,Markets,5.16,10.13,25.8,5.39,10.59,26.96,money,EUR
3,107,Vienna,Austria,20,"Milk, Regular,1 liter",4,Markets,0.83,1.17,1.55,0.87,1.22,1.62,money,EUR
3,107,Vienna,Austria,21,"Onion, 1 kg",4,Markets,0.82,1.37,2.07,0.86,1.43,2.16,money,EUR
3,107,Vienna,Austria,22,"Oranges, 1 kg",4,Markets,1.03,2.28,3.62,1.08,2.38,3.78,money,EUR
3,107,Vienna,Austria,23,Pack of Cigarettes,4,Markets,5.37,5.67,7.22,5.61,5.92,7.54,money,EUR
3,107,Vienna,Austria,24,"Potato, 1 kg",4,Markets,0.52,1.46,2.4,0.54,1.53,2.51,money,EUR
3,107,Vienna,Austria,25,"White Rice, 1 kg",4,Markets,0.83,1.63,3.1,0.87,1.7,3.24,money,EUR
3,107,Vienna,Austria,26,"Tomato, 1 kg",4,Markets,1.54,2.48,4.55,1.61,2.59,4.75,money,EUR
3,107,Vienna,Austria,27,"Water, 1.5 liter Bottle",4,Markets,0.26,0.63,1.03,0.27,0.66,1.08,money,EUR
3,107,Vienna,Austria,28,One bedroom apartment outside of city centre,5,Rent Per Month,515.97,659.07,825.54,539.16,688.69,862.64,money,EUR
3,107,Vienna,Austria,29,One bedroom apartment in city centre,5,Rent Per Month,722.35,921.4,1341.51,754.81,962.81,1401.8,money,EUR
3,107,Vienna,Austria,30,Three bedroom apartment outside of city centre,5,Rent Per Month,928.74,1231.44,1754.28,970.48,1286.78,1833.12,money,EUR
3,107,Vienna,Austria,31,Three bedroom apartment in city centre,5,Rent Per Month,1238.32,1680.32,2579.83,1293.97,1755.84,2695.78,money,EUR
3,107,Vienna,Austria,32,Cappuccino,6,Restaurants,2.07,3.45,5.16,2.16,3.61,5.39,money,EUR
3,107,Vienna,Austria,33,"Coca-Cola, 0.33 liter Bottle",6,Restaurants,2.07,2.84,3.62,2.16,2.97,3.78,money,EUR
3,107,Vienna,Austria,34,"Domestic Beer, 0.5 liter Draught",6,Restaurants,3.1,4.13,5.16,3.24,4.32,5.39,money,EUR
3,107,Vienna,Austria,35,"Imported Beer, 0.33 liter Bottle",6,Restaurants,3.62,4.13,5.67,3.78,4.32,5.92,money,EUR
3,107,Vienna,Austria,36,McMeal at McDonalds or Alternative Combo Meal,6,Restaurants,7.22,8.25,9.29,7.54,8.62,9.71,money,EUR
3,107,Vienna,Austria,37,"Meal for 2 People, Mid-range Restaurant, Three-course",6,Restaurants,41.28,51.59,82.55,43.14,53.91,86.26,money,EUR
3,107,Vienna,Austria,38,Meal in Inexpensive Restaurant,6,Restaurants,8.25,10.32,15.48,8.62,10.78,16.18,money,EUR
3,107,Vienna,Austria,40,"Average Monthly Net Salary, After Tax",7,Salaries And Financing,2165.76,2406.4,2647.04,2263.1,2514.55,2766.01,money,EUR
3,107,Vienna,Austria,42,"Cinema ticket, 1 Seat",8,Sports And Leisure,9.29,11.35,15.48,9.71,11.86,16.18,money,EUR
3,107,Vienna,Austria,43,"Fitness Club, Monthly Fee for 1 Adult",8,Sports And Leisure,20.63,28.27,61.91,21.56,29.54,64.69,money,EUR
3,107,Vienna,Austria,44,"Tennis Court Rent, 1 Hour on Weekend",8,Sports And Leisure,14.44,20.12,25.8,15.09,21.02,26.96,money,EUR
3,107,Vienna,Austria,45,"Gasoline, 1 liter",9,Transportation,1.03,1.24,1.55,1.08,1.3,1.62,money,EUR
3,107,Vienna,Austria,46,"Monthly Pass, Regular Price",9,Transportation,31.39,49.54,67.69,32.8,51.77,70.73,money,EUR
3,107,Vienna,Austria,47,"One-way Ticket, Local Transport",9,Transportation,2.23,2.48,2.73,2.33,2.59,2.85,money,EUR
3,107,Vienna,Austria,48,"Taxi, price for 1 hour Waiting, Normal Tariff",9,Transportation,26.83,28.69,30.55,28.04,29.98,31.92,money,EUR
3,107,Vienna,Austria,49,"Taxi, price for 1 km, Normal Tariff",9,Transportation,1.08,1.46,2.07,1.13,1.53,2.16,money,EUR
3,107,Vienna,Austria,50,"Taxi Start, Normal Tariff",9,Transportation,3.92,4.13,7.22,4.1,4.32,7.54,money,EUR
3,107,Vienna,Austria,52,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),9,Transportation,20638.62,23832.45,27026.28,21566.18,24903.55,28240.92,money,EUR
3,107,Vienna,Austria,53,"Prepaid Mobile Tariff Local, price per 1 min, No Discounts or Plans",10,Utilities Per Month,0.01,0.05,0.1,0.01,0.05,0.1,money,EUR
3,107,Vienna,Austria,54,"Basic utilities for 85 square meter Apartment including Electricity, Heating or Cooling, Water and Garbage",10,Utilities Per Month,123.83,208.16,361.17,129.4,217.52,377.4,money,EUR
3,107,Vienna,Austria,55,"Internet, 60 Mbps or More, Unlimited Data, Cable/ADSL",10,Utilities Per Month,25.8,34.62,43.44,26.96,36.18,45.39,money,EUR
3,107,Vienna,Austria,58,"Water, 0.33 liter Bottle",4,Markets,1.55,2.19,3.1,1.62,2.29,3.24,money,EUR
3,107,Vienna,Austria,64,"Summer Dress in a Chain Store Like George, H&M, Zara, etc.",3,Clothing And Shoes,20.63,32.94,51.59,21.56,34.42,53.91,money,EUR
3,107,Vienna,Austria,65,"Mortgage Interest Rate in Percentages for 20 Years Fixed-Rate, Yearly, Fixed-Rate",7,Salaries And Financing,1.99,2.21,2.43,,,,percent,
3,107,Vienna,Austria,68,"Imported Beer, 0.33 liter Bottle",4,Markets,1.03,1.7,3.1,1.08,1.78,3.24,money,EUR
4,130,Minsk,Belaurs,1,Price per square meter to Buy Apartment Outside of City Center,1,Buy Apartment,2466.64,3019.43,3792.49,731.1,894.94,1124.07,money,BYN
4,130,Minsk,Belaurs,2,Price per square meter to Buy Apartment in City Center,1,Buy Apartment,3453.3,4744.19,6573.65,1023.53,1406.15,1948.39,money,BYN
4,130,Minsk,Belaurs,3,"International Primary School, Yearly for 1 Child",2,Childcare,10655.88,14510.95,18366.02,3158.33,4300.95,5443.56,money,BYN
4,130,Minsk,Belaurs,4,"Private Preschool or Kindergarten, Monthly for 1 Child",2,Childcare,789.33,1149.13,1527.29,233.95,340.59,452.68,money,BYN
4,130,Minsk,Belaurs,5,"Pair of Jeans in a Chain Store Like George, H&M, Zara, etc.",3,Clothing And Shoes,49.33,150.93,295.99,14.62,44.73,87.73,money,BYN
4,130,Minsk,Belaurs,6,Pair of Leather Business Shoes,3,Clothing And Shoes,108.54,220.47,394.65,32.17,65.35,116.97,money,BYN
4,130,Minsk,Belaurs,7,"Pair of Running Shoes, Mid-Range Price",3,Clothing And Shoes,148.01,240.05,333.48,43.87,71.15,98.84,money,BYN
4,130,Minsk,Belaurs,9,"Apples, 1 kg",4,Markets,1.96,3.49,5.02,0.58,1.03,1.49,money,BYN
4,130,Minsk,Belaurs,10,"Banana, 1 kg",4,Markets,2.36,2.92,3.95,0.7,0.87,1.17,money,BYN
4,130,Minsk,Belaurs,11,"Beef Round or Equivalent Back Leg Red Meat, 1 kg",4,Markets,9.86,15.09,20.32,2.92,4.47,6.02,money,BYN
4,130,Minsk,Belaurs,12,"Bottle of Wine, Mid-Range Price",4,Markets,9.86,19.74,29.62,2.92,5.85,8.78,money,BYN
4,130,Minsk,Belaurs,13,"Chicken Breasts, Boneless and Skinless, 1 kg",4,Markets,4.93,8.15,11.37,1.46,2.42,3.37,money,BYN
4,130,Minsk,Belaurs,14,"Domestic Beer, 0.5 liter Bottle",4,Markets,1.48,2.14,2.97,0.44,0.63,0.88,money,BYN
4,130,Minsk,Belaurs,15,"Eggs, 12 pack",4,Markets,2.31,3.07,3.83,0.68,0.91,1.14,money,BYN
4,130,Minsk,Belaurs,17,"Lettuce, 1 head",4,Markets,0.98,2.44,3.95,0.29,0.72,1.17,money,BYN
4,130,Minsk,Belaurs,18,"Loaf of Fresh White Bread, 0.5 kg",4,Markets,0.98,1.41,2.97,0.29,0.42,0.88,money,BYN
4,130,Minsk,Belaurs,19,"Local Cheese, 1 kg",4,Markets,9.86,14.53,29.59,2.92,4.31,8.77,money,BYN
4,130,Minsk,Belaurs,20,"Milk, Regular,1 liter",4,Markets,1.43,1.73,2.46,0.42,0.51,0.73,money,BYN
4,130,Minsk,Belaurs,21,"Onion, 1 kg",4,Markets,0.73,1.41,2.97,0.22,0.42,0.88,money,BYN
4,130,Minsk,Belaurs,22,"Oranges, 1 kg",4,Markets,2.97,4.45,5.93,0.88,1.32,1.76,money,BYN
4,130,Minsk,Belaurs,23,Pack of Cigarettes,4,Markets,2.97,3.8,5.05,0.88,1.13,1.5,money,BYN
4,130,Minsk,Belaurs,24,"Potato, 1 kg",4,Markets,0.68,1.28,1.96,0.2,0.38,0.58,money,BYN
